Command: /home/users9/jp581081/526LSP21/LAB9/./simv -l fifo_FWFT.log
Chronologic VCS simulator copyright 1991-2017
Contains Synopsys proprietary information.
Compiler version N-2017.12-SP2-2_Full64; Runtime version N-2017.12-SP2-2_Full64;  May  1 18:13 2021
VCD+ Writer N-2017.12-SP2-2_Full64 Copyright (c) 1991-2017 by Synopsys Inc.
                 350:rst_n=x, data_in= 18, wr_en=1, almost_full=0, full=0, overflow=0, rd_en=0 data_out=  2, valid=0, almost_empty=0, empty=0, underflow=0, count=17
                 360:rst_n=x, data_in= 19, wr_en=1, almost_full=0, full=0, overflow=0, rd_en=0 data_out=  2, valid=0, almost_empty=0, empty=0, underflow=0, count=17
                 370:rst_n=x, data_in= 19, wr_en=1, almost_full=0, full=0, overflow=0, rd_en=0 data_out=  2, valid=0, almost_empty=0, empty=0, underflow=0, count=18
                 380:rst_n=x, data_in= 20, wr_en=1, almost_full=0, full=0, overflow=0, rd_en=0 data_out=  2, valid=0, almost_empty=0, empty=0, underflow=0, count=18
                 390:rst_n=x, data_in= 20, wr_en=1, almost_full=0, full=0, overflow=0, rd_en=0 data_out=  2, valid=0, almost_empty=0, empty=0, underflow=0, count=19
                 400:rst_n=x, data_in= 21, wr_en=1, almost_full=0, full=0, overflow=0, rd_en=0 data_out=  2, valid=0, almost_empty=0, empty=0, underflow=0, count=19
                 410:rst_n=x, data_in= 21, wr_en=1, almost_full=0, full=0, overflow=0, rd_en=0 data_out=  2, valid=0, almost_empty=0, empty=0, underflow=0, count=20
                 420:rst_n=x, data_in= 22, wr_en=1, almost_full=0, full=0, overflow=0, rd_en=0 data_out=  2, valid=0, almost_empty=0, empty=0, underflow=0, count=20
                 430:rst_n=x, data_in= 22, wr_en=1, almost_full=0, full=0, overflow=0, rd_en=0 data_out=  2, valid=0, almost_empty=0, empty=0, underflow=0, count=21
                 440:rst_n=x, data_in= 23, wr_en=1, almost_full=0, full=0, overflow=0, rd_en=0 data_out=  2, valid=0, almost_empty=0, empty=0, underflow=0, count=21
                 450:rst_n=x, data_in= 23, wr_en=1, almost_full=0, full=0, overflow=0, rd_en=0 data_out=  2, valid=0, almost_empty=0, empty=0, underflow=0, count=22
                 460:rst_n=x, data_in= 24, wr_en=1, almost_full=0, full=0, overflow=0, rd_en=0 data_out=  2, valid=0, almost_empty=0, empty=0, underflow=0, count=22
                 470:rst_n=x, data_in= 24, wr_en=1, almost_full=0, full=0, overflow=0, rd_en=0 data_out=  2, valid=0, almost_empty=0, empty=0, underflow=0, count=23
                 480:rst_n=x, data_in= 25, wr_en=1, almost_full=0, full=0, overflow=0, rd_en=0 data_out=  2, valid=0, almost_empty=0, empty=0, underflow=0, count=23
                 490:rst_n=x, data_in= 25, wr_en=1, almost_full=0, full=0, overflow=0, rd_en=0 data_out=  2, valid=0, almost_empty=0, empty=0, underflow=0, count=24
                 500:rst_n=x, data_in= 26, wr_en=1, almost_full=0, full=0, overflow=0, rd_en=0 data_out=  2, valid=0, almost_empty=0, empty=0, underflow=0, count=24
                 510:rst_n=x, data_in= 26, wr_en=1, almost_full=0, full=0, overflow=0, rd_en=0 data_out=  2, valid=0, almost_empty=0, empty=0, underflow=0, count=25
                 520:rst_n=x, data_in= 27, wr_en=1, almost_full=0, full=0, overflow=0, rd_en=0 data_out=  2, valid=0, almost_empty=0, empty=0, underflow=0, count=25
                 530:rst_n=x, data_in= 27, wr_en=1, almost_full=0, full=0, overflow=0, rd_en=0 data_out=  2, valid=0, almost_empty=0, empty=0, underflow=0, count=26
                 540:rst_n=x, data_in= 28, wr_en=1, almost_full=0, full=0, overflow=0, rd_en=0 data_out=  2, valid=0, almost_empty=0, empty=0, underflow=0, count=26
                 550:rst_n=x, data_in= 28, wr_en=1, almost_full=0, full=0, overflow=0, rd_en=0 data_out=  2, valid=0, almost_empty=0, empty=0, underflow=0, count=27
