Command: /home/users9/jp581081/526LSP21/LAB7/./simv -l rom.log
Chronologic VCS simulator copyright 1991-2017
Contains Synopsys proprietary information.
Compiler version N-2017.12-SP2-2_Full64; Runtime version N-2017.12-SP2-2_Full64;  Apr 11 22:20 2021
VCD+ Writer N-2017.12-SP2-2_Full64 Copyright (c) 1991-2017 by Synopsys Inc.
                 605:ADDR=27 | CS=0 OE=1 | DATA_ROM=xx || CS=0 OE=0 WS=1 | DATA_RAM=xx
                 620:ADDR=28 | CS=0 OE=1 | DATA_ROM=12 || CS=0 OE=0 WS=0 | DATA_RAM=zz
                 630:ADDR=28 | CS=0 OE=1 | DATA_ROM=12 || CS=0 OE=0 WS=1 | DATA_RAM=21
                 645:ADDR=29 | CS=0 OE=1 | DATA_ROM=af || CS=0 OE=0 WS=0 | DATA_RAM=zz
                 655:ADDR=29 | CS=0 OE=1 | DATA_ROM=af || CS=0 OE=0 WS=1 | DATA_RAM=ee
                 670:ADDR=30 | CS=0 OE=1 | DATA_ROM=33 || CS=0 OE=0 WS=0 | DATA_RAM=zz
                 680:ADDR=30 | CS=0 OE=1 | DATA_ROM=33 || CS=0 OE=0 WS=1 | DATA_RAM=a5
                 695:ADDR=31 | CS=0 OE=1 | DATA_ROM=xx || CS=0 OE=0 WS=1 | DATA_RAM=a5
Reading Ram
                 705:ADDR= 4 | CS=1 OE=1 | DATA_ROM=zz || CS=0 OE=0 WS=1 | DATA_RAM=a5
                 740:ADDR= 5 | CS=1 OE=1 | DATA_ROM=zz || CS=0 OE=1 WS=0 | DATA_RAM=de
                 775:ADDR= 6 | CS=1 OE=1 | DATA_ROM=zz || CS=0 OE=1 WS=0 | DATA_RAM=ed
                 810:ADDR= 7 | CS=1 OE=1 | DATA_ROM=zz || CS=0 OE=1 WS=0 | DATA_RAM=0d
                 845:ADDR= 8 | CS=1 OE=1 | DATA_ROM=zz || CS=0 OE=1 WS=0 | DATA_RAM=d2
                 880:ADDR= 9 | CS=1 OE=1 | DATA_ROM=zz || CS=0 OE=1 WS=0 | DATA_RAM=ea
                 915:ADDR=10 | CS=1 OE=1 | DATA_ROM=zz || CS=0 OE=1 WS=0 | DATA_RAM=44
                 950:ADDR=11 | CS=1 OE=1 | DATA_ROM=zz || CS=0 OE=1 WS=0 | DATA_RAM=e3
                 985:ADDR=12 | CS=1 OE=1 | DATA_ROM=zz || CS=0 OE=1 WS=0 | DATA_RAM=9c
                1020:ADDR=13 | CS=1 OE=1 | DATA_ROM=zz || CS=0 OE=1 WS=0 | DATA_RAM=81
                1055:ADDR=14 | CS=1 OE=1 | DATA_ROM=zz || CS=0 OE=1 WS=0 | DATA_RAM=a0
                1090:ADDR=15 | CS=1 OE=1 | DATA_ROM=zz || CS=0 OE=1 WS=0 | DATA_RAM=1a
                1125:ADDR=16 | CS=1 OE=1 | DATA_ROM=zz || CS=0 OE=1 WS=0 | DATA_RAM=73
                1160:ADDR=17 | CS=1 OE=1 | DATA_ROM=zz || CS=0 OE=1 WS=0 | DATA_RAM=3f
                1195:ADDR=18 | CS=1 OE=1 | DATA_ROM=zz || CS=0 OE=1 WS=0 | DATA_RAM=75
                1230:ADDR=19 | CS=1 OE=1 | DATA_ROM=zz || CS=0 OE=1 WS=0 | DATA_RAM=2c
                1265:ADDR=20 | CS=1 OE=1 | DATA_ROM=zz || CS=0 OE=1 WS=0 | DATA_RAM=68
                1300:ADDR=21 | CS=1 OE=1 | DATA_ROM=zz || CS=0 OE=1 WS=0 | DATA_RAM=c9
                1335:ADDR=22 | CS=1 OE=1 | DATA_ROM=zz || CS=0 OE=1 WS=0 | DATA_RAM=df
                1370:ADDR=23 | CS=1 OE=1 | DATA_ROM=zz || CS=0 OE=1 WS=0 | DATA_RAM=c5
                1405:ADDR=24 | CS=1 OE=1 | DATA_ROM=zz || CS=0 OE=1 WS=0 | DATA_RAM=xx
                1440:ADDR=25 | CS=1 OE=1 | DATA_ROM=zz || CS=0 OE=1 WS=0 | DATA_RAM=xx
                1475:ADDR=26 | CS=1 OE=1 | DATA_ROM=zz || CS=0 OE=1 WS=0 | DATA_RAM=xx
                1510:ADDR=27 | CS=1 OE=1 | DATA_ROM=zz || CS=0 OE=1 WS=0 | DATA_RAM=xx
                1545:ADDR=28 | CS=1 OE=1 | DATA_ROM=zz || CS=0 OE=1 WS=0 | DATA_RAM=21
                1580:ADDR=29 | CS=1 OE=1 | DATA_ROM=zz || CS=0 OE=1 WS=0 | DATA_RAM=ee
                1615:ADDR=30 | CS=1 OE=1 | DATA_ROM=zz || CS=0 OE=1 WS=0 | DATA_RAM=a5
                1650:ADDR=31 | CS=1 OE=1 | DATA_ROM=zz || CS=0 OE=1 WS=0 | DATA_RAM=xx
$finish called from file "rom_tb.v", line 58.
$finish at simulation time                 1685
           V C S   S i m u l a t i o n   R e p o r t 
Time: 1685 ns
CPU Time:      0.190 seconds;       Data structure size:   0.0Mb
Sun Apr 11 22:20:34 2021
